49	KCl/Polymer 1.75sg 10degC	1
15,8	3,55
12,6	3,3
10	3,08
7,94	2,85
6,31	2,64
5,01	2,44
3,98	2,24
3,16	2,06
2,51	1,88
2	1,72
1,58	1,56
1,26	1,41
1	1,27

65	Xan+25 KCl+25 barite 25%	1
100	22,5
79,4	20,5
63,1	18,7
50,1	17,2
39,8	15,8
31,6	14,6
25,1	13,5
20	12,6
15,8	11,8
12,6	11,1
10	10,4
7,94	9,82
6,31	9,31
5,01	8,84
3,98	8,43
3,16	8,05
2,51	7,71
2	7,41
1,58	7,13
1,26	6,87
1	6,63

66	Xan+25 KCl+25 barite 21%	1
100	19,9
79,4	18,2
63,1	16,7
50,1	15,4
39,8	14,3
31,6	13,2
25,1	12,3
20	11,5
15,8	10,8
12,6	10,2
10	9,61
7,94	9,1
6,31	8,64
5,01	8,22
3,98	7,85
3,16	7,51
2,51	7,2
2	6,92
1,58	6,66
1,26	6,41
1	6,19

67	Xan+25 KCl+25 barite 18%	1
100	17,7
79,4	16,3
63,1	15
50,1	13,9
39,8	12,9
31,6	12,1
25,1	11,3
20	10,6
15,8	9,97
12,6	9,42
10	8,92
7,94	8,47
6,31	8,06
5,01	7,69
3,98	7,35
3,16	7,04
2,51	6,76
2	6,5
1,58	6,26
1,26	6,04
1	5,83

68	Xan+25 KCl+25 barite 15%	1
100	16,1
79,4	14,9
63,1	13,8
50,1	12,8
39,8	12
31,6	11,2
25,1	10,5
20	9,92
15,8	9,37
12,6	8,87
10	8,42
7,94	8,02
6,31	7,64
5,01	7,3
3,98	7
3,16	6,71
2,51	6,44
2	6,2
1,58	5,97
1,26	5,76
1	5,56

69	Xan+25 KCl+25 barite 12%	1
100	14,6
79,4	13,5
63,1	12,5
50,1	11,7
39,8	11
31,6	10,3
25,1	9,72
20	9,19
15,8	8,71
12,6	8,27
10	7,87
7,94	7,51
6,31	7,18
5,01	6,88
3,98	6,6
3,16	6,33
2,51	6,09
2	5,87
1,58	5,66
1,26	5,46
1	5,27

70	Xan+25 KCl+25 barite 9%	1
100	13,4
79,4	12,5
63,1	11,6
50,1	10,9
39,8	10,2
31,6	9,65
25,1	9,12
20	8,65
15,8	8,22
12,6	7,83
10	7,47
7,94	7,15
6,31	6,85
5,01	6,57
3,98	6,31
3,16	6,07
2,51	5,85
2	5,64
1,58	5,44
1,26	5,25
1	5,07

71	Xan+25 KCl+25 barite 6%	1
100	12,4
79,4	11,5
63,1	10,8
50,1	10,2
39,8	9,57
31,6	9,05
25,1	8,58
20	8,16
15,8	7,78
12,6	7,43
10	7,1
7,94	6,81
6,31	6,53
5,01	6,28
3,98	6,05
3,16	5,82
2,51	5,62
2	5,42
1,58	5,24
1,26	5,06
1	4,89

72	Xan+25 KCl+25 barite 3%	1
100	11,4
79,4	10,7
63,1	10
50,1	9,43
39,8	8,92
31,6	8,45
25,1	8,03
20	7,66
15,8	7,31
12,6	7
10	6,71
7,94	6,44
6,31	6,2
5,01	5,97
3,98	5,76
3,16	5,55
2,51	5,36
2	5,19
1,58	5,02
1,26	4,85
1	4,69

73	Xan+25 KCl+25 barite 0%	1
100	10,5
79,4	9,86
63,1	9,28
50,1	8,76
39,8	8,3
31,6	7,89
25,1	7,52
20	7,18
15,8	6,87
12,6	6,59
10	6,33
7,94	6,09
6,31	5,87
5,01	5,67
3,98	5,48
3,16	5,29
2,51	5,12
2	4,96
1,58	4,81
1,26	4,66
1	4,51

74	Xan+25 KCl+0 barite 25%	1
100	22,8
79,4	20,7
63,1	18,9
50,1	17,3
39,8	15,9
31,6	14,7
25,1	13,6
20	12,7
15,8	11,9
12,6	11,1
10	10,4
7,94	9,85
6,31	9,32
5,01	8,85
3,98	8,43
3,16	8,04
2,51	7,7
2	7,39
1,58	7,11
1,26	6,84
1	6,61

75	Xan+25 KCl+0 barite 21%	1
100	20,5
79,4	18,7
63,1	17,2
50,1	15,8
39,8	14,7
31,6	13,6
25,1	12,7
20	11,8
15,8	11,1
12,6	10,4
10	9,84
7,94	9,31
6,31	8,83
5,01	8,4
3,98	8,02
3,16	7,66
2,51	7,34
2	7,05
1,58	6,78
1,26	6,53
1	6,3

76	Xan+25 KCl+0 barite 18%	1
100	18,3
79,4	16,8
63,1	15,6
50,1	14,4
39,8	13,4
31,6	12,5
25,1	11,7
20	11
15,8	10,3
12,6	9,74
10	9,22
7,94	8,75
6,31	8,32
5,01	7,93
3,98	7,58
3,16	7,25
2,51	6,96
2	6,69
1,58	6,44
1,26	6,2
1	5,98

77	Xan+25 KCl+0 barite 15%	1
100	16,3
79,4	15,1
63,1	14
50,1	13
39,8	12,2
31,6	11,4
25,1	10,7
20	10,1
15,8	9,54
12,6	9,04
10	8,58
7,94	8,17
6,31	7,79
5,01	7,45
3,98	7,13
3,16	6,84
2,51	6,57
2	6,33
1,58	6,09
1,26	5,88
1	5,67

78	Xan+25 KCl+0 barite 12%	1
100	15
79,4	13,9
63,1	13
50,1	12,1
39,8	11,3
31,6	10,7
25,1	10,1
20	9,53
15,8	9,04
12,6	8,59
10	8,18
7,94	7,8
6,31	7,46
5,01	7,14
3,98	6,85
3,16	6,58
2,51	6,33
2	6,1
1,58	5,88
1,26	5,67
1	5,48

79	Xan+25 KCl+0 barite 9%	1
100	13,7
79,4	12,8
63,1	11,9
50,1	11,2
39,8	10,5
31,6	9,91
25,1	9,38
20	8,9
15,8	8,46
12,6	8,07
10	7,7
7,94	7,37
6,31	7,06
5,01	6,78
3,98	6,52
3,16	6,27
2,51	6,04
2	5,83
1,58	5,62
1,26	5,43
1	5,25

80	Xan+25 KCl+0 barite 6%	1
100	12,5
79,4	11,7
63,1	10,9
50,1	10,3
39,8	9,71
31,6	9,19
25,1	8,72
20	8,3
15,8	7,91
12,6	7,56
10	7,24
7,94	6,94
6,31	6,66
5,01	6,39
3,98	6,16
3,16	5,93
2,51	5,75
2	5,56
1,58	5,37
1,26	5,19
1	5,03

81	Xan+25 KCl+0 barite 3%	1
100	11,6
79,4	10,9
63,1	10,2
50,1	9,63
39,8	9,11
31,6	8,64
25,1	8,22
20	7,84
15,8	7,5
12,6	7,18
10	6,89
7,94	6,63
6,31	6,38
5,01	6,15
3,98	5,93
3,16	5,73
2,51	5,54
2	5,36
1,58	5,18
1,26	5,02
1	4,86

82	Xan+25 KCl+0 barite 0%	1
100	10,6
79,4	9,92
63,1	9,35
50,1	8,83
39,8	8,37
31,6	7,96
25,1	7,59
20	7,26
15,8	6,95
12,6	6,67
10	6,41
7,94	6,18
6,31	5,95
5,01	5,75
3,98	5,56
3,16	5,38
2,51	5,21
2	5,05
1,58	4,89
1,26	4,74
1	4,6

83	Xan+50 KCl+50 barite 25%	1
100	27,7
79,4	25,5
63,1	23,5
50,1	21,7
39,8	20,1
31,6	18,8
25,1	17,6
20	16,5
15,8	15,5
12,6	14,6
10	13,9
7,94	13,2
6,31	12,5
5,01	12
3,98	11,5
3,16	11
2,51	10,6
2	10,2
1,58	9,82
1,26	9,48
1	9,17

84	Xan+50 KCl+50 barite 21%	1
100	24,5
79,4	22,6
63,1	20,9
50,1	19,4
39,8	18,1
31,6	17
25,1	15,9
20	15
15,8	14,1
12,6	13,4
10	12,7
7,94	12,1
6,31	11,5
5,01	11
3,98	10,6
3,16	10,2
2,51	9,77
2	9,42
1,58	9,09
1,26	8,79
1	8,5

85	Xan+50 KCl+50 barite 18%	1
100	21,5
79,4	19,9
63,1	18,5
50,1	17,3
39,8	16,2
31,6	15,2
25,1	14,3
20	13,5
15,8	12,8
12,6	12,1
10	11,6
7,94	11
6,31	10,5
5,01	10,1
3,98	9,7
3,16	9,33
2,51	8,99
2	8,68
1,58	8,38
1,26	8,1
1	7,85

86	Xan+50 KCl+50 barite 15%	1
100	19,5
79,4	18,1
63,1	16,9
50,1	15,8
39,8	14,8
31,6	14
25,1	13,2
20	12,5
15,8	11,9
12,6	11,3
10	10,8
7,94	10,3
6,31	9,88
5,01	9,48
3,98	9,12
3,16	8,78
2,51	8,47
2	8,18
1,58	7,91
1,26	7,65
1	7,41

87	Xan+50 KCl+50 barite 12%	1
100	18
79,4	16,8
63,1	15,7
50,1	14,8
39,8	13,9
31,6	13,1
25,1	12,4
20	11,8
15,8	11,2
12,6	10,7
10	10,2
7,94	9,81
6,31	9,42
5,01	9,05
3,98	8,72
3,16	8,4
2,51	8,11
2	7,85
1,58	7,59
1,26	7,35
1	7,12

88	Xan+50 KCl+50 barite 9%	1
100	16,6
79,4	15,5
63,1	14,5
50,1	13,7
39,8	12,9
31,6	12,2
25,1	11,6
20	11
15,8	10,5
12,6	10,1
10	9,63
7,94	9,24
6,31	8,89
5,01	8,56
3,98	8,25
3,16	7,96
2,51	7,7
2	7,45
1,58	7,21
1,26	6,99
1	6,77

89	Xan+50 KCl+50 barite 6%	1
100	15,2
79,4	14,3
63,1	13,4
50,1	12,7
39,8	12
31,6	11,4
25,1	10,8
20	10,3
15,8	9,88
12,6	9,47
10	9,09
7,94	8,74
6,31	8,42
5,01	8,12
3,98	7,84
3,16	7,58
2,51	7,33
2	7,11
1,58	6,89
1,26	6,68
1	6,48

90	Xan+50 KCl+50 barite 3%	1
100	14,2
79,4	13,3
63,1	12,5
50,1	11,8
39,8	11,2
31,6	10,7
25,1	10,2
20	9,75
15,8	9,34
12,6	8,97
10	8,63
7,94	8,31
6,31	8,02
5,01	7,75
3,98	7,5
3,16	7,25
2,51	7,03
2	6,82
1,58	6,62
1,26	6,42
1	6,23

91	Xan+50 KCl+50 barite 0%	1
100	12,9
